zip,lat,lon,state
57750,43.7319,-101.9642,SD
58492,47.1438,-98.4329,ND
60932,40.4633,-87.8056,IL
64776,38.0286,-93.7536,MO
72022,34.6068,-92.492,AR
85929,34.1662,-109.9869,AZ
4262,44.5473,-70.2381,ME
6069,41.8714,-73.4578,CT
7068,40.8203,-74.3047,NJ
10509,41.4097,-73.5992,NY
12955,44.8043,-73.973,NY
13340,43.044,-75.1072,NY
28690,35.7447,-81.567,NC
36867,32.4978,-85.0234,AL
38740,34.047,-90.7652,MS
43066,40.3918,-83.1781,OH
45405,39.7899,-84.2135,OH
70560,30.001,-91.82,LA
91803,34.0745,-118.1434,CA
93607,36.5898,-119.8994,CA
94506,37.8321,-121.9167,CA
3258,43.244,-71.4105,NH
7028,40.804,-74.2055,NJ
23405,37.4014,-75.9082,VA
28117,35.584,-80.8685,NC
29693,34.6965,-83.1535,SC
30678,33.4581,-83.0802,GA
34683,28.0662,-82.7585,FL
36436,31.7635,-87.7106,AL
47274,38.9571,-85.8825,IN
49676,44.8449,-85.2943,MI
68727,42.5061,-97.2037,NE
72118,34.8337,-92.3289,AR
80833,38.7642,-104.0241,CO
92088,33.3764,-117.2511,CA
14846,42.5388,-77.9818,NY
27326,36.4428,-79.5606,NC
32819,28.4522,-81.4678,FL
40514,37.9833,-84.5767,KY
45804,40.7275,-84.089,OH
47306,40.2023,-85.4082,IN
47463,39.0859,-86.6689,IN
50591,42.6889,-94.039,IA
56587,46.6706,-95.7948,MN
65347,39.0104,-93.0311,MO
67849,38.109,-99.6928,KS
73032,34.402,-97.051,OK
86320,35.215,-112.5027,AZ
88119,34.46,-104.2317,NM
17573,40.0262,-76.1686,PA
21131,39.4833,-76.5776,MD
28906,35.1312,-84.0388,NC
40874,36.984,-83.4667,KY
55368,44.7736,-93.9216,MN
55742,47.1924,-93.1469,MN
61821,40.1073,-88.2788,IL
62440,39.3958,-88.253,IL
62835,38.0927,-88.3325,IL
78722,30.2893,-97.715,TX
89022,38.5388,-117.0734,NV
91786,34.1144,-117.6583,CA
12515,41.6749,-74.0557,NY
22109,38.9335,-77.1797,VA
22307,38.7714,-77.0657,VA
24210,36.6916,-82.02,VA
27715,36.0512,-78.8577,NC
39736,33.4115,-88.6443,MS
49035,42.5951,-85.3086,MI
61313,41.0719,-88.6498,IL
80429,39.2258,-106.3117,CO
